name,columns,rows,chunk_size,data_page_size,columns_to_read,reading(μs),reading_p1(μs),reading_p2(μs)
read_external_metadata_store_true,1000,50000,1000,1073741824,100,15623.56948852539,871.4199066162109,14713.048934936523
read_external_metadata_store_false,1000,50000,1000,1073741824,100,13826.370239257812,236.51123046875,13566.49398803711
read_store_true,1000,50000,1000,1073741824,100,34365.89241027832,13913.869857788086,17867.326736450195
read_store_false,1000,50000,1000,1073741824,100,31238.317489624023,13746.73843383789,14066.696166992188
read_external_metadata_store_true,2000,50000,1000,1073741824,100,18956.661224365234,1632.6904296875,17323.970794677734
read_external_metadata_store_false,2000,50000,1000,1073741824,100,17778.15818786621,449.18060302734375,17281.770706176758
read_store_true,2000,50000,1000,1073741824,100,44422.149658203125,27140.140533447266,13764.85824584961
read_store_false,2000,50000,1000,1073741824,100,45748.47221374512,27625.79917907715,14136.314392089844
read_external_metadata_store_true,3000,50000,1000,1073741824,100,19012.928009033203,2369.8806762695312,16580.10482788086
read_external_metadata_store_false,3000,50000,1000,1073741824,100,17355.680465698242,617.2657012939453,16738.414764404297
read_store_true,3000,50000,1000,1073741824,100,60475.34942626953,41994.333267211914,15429.973602294922
read_store_false,3000,50000,1000,1073741824,100,61890.84053039551,42683.60137939453,15626.907348632812
read_external_metadata_store_true,4000,50000,1000,1073741824,100,21242.856979370117,3135.4427337646484,18093.585968017578
read_external_metadata_store_false,4000,50000,1000,1073741824,100,19123.315811157227,745.5348968505859,18294.572830200195
read_store_true,4000,50000,1000,1073741824,100,74342.25082397461,55363.17825317383,18436.670303344727
read_store_false,4000,50000,1000,1073741824,100,73347.33009338379,54966.21131896973,18371.58203125
read_external_metadata_store_true,5000,50000,1000,1073741824,100,22034.883499145508,3914.8330688476562,18083.09555053711
read_external_metadata_store_false,5000,50000,1000,1073741824,100,18865.108489990234,914.0968322753906,17911.911010742188
read_store_true,5000,50000,1000,1073741824,100,90292.69218444824,71653.60450744629,18244.504928588867
read_store_false,5000,50000,1000,1073741824,100,85906.2671661377,67451.95388793945,18454.313278198242
read_external_metadata_store_true,6000,50000,1000,1073741824,100,23530.244827270508,4845.857620239258,18527.746200561523
read_external_metadata_store_false,6000,50000,1000,1073741824,100,19628.76319885254,1138.925552368164,18489.837646484375
read_store_true,6000,50000,1000,1073741824,100,105425.35781860352,86572.88551330566,18570.661544799805
read_store_false,6000,50000,1000,1073741824,100,100003.71932983398,81677.67524719238,18032.78923034668
read_external_metadata_store_true,7000,50000,1000,1073741824,100,24655.10368347168,5348.443984985352,18715.858459472656
read_external_metadata_store_false,7000,50000,1000,1073741824,100,19638.776779174805,1326.3225555419922,18013.954162597656
read_store_true,7000,50000,1000,1073741824,100,119869.94743347168,100527.28652954102,18203.4969329834
read_store_false,7000,50000,1000,1073741824,100,114406.82411193848,95813.27438354492,17857.55157470703
read_external_metadata_store_true,8000,50000,1000,1073741824,100,24929.76188659668,6129.50325012207,18532.752990722656
