name,columns,rows,chunk_size,columns_to_read,reading(μs),reading_p1(μs),reading_p2(μs)
write_use_dictionary,9000,20000,20000,100,26506.423950195312,14364.71939086914,8555.173873901367
write_use_compression,9000,20000,20000,100,22649.526596069336,13776.540756225586,5713.224411010742
write_use_statistics,9000,20000,20000,100,22284.507751464844,14272.451400756836,4268.169403076172
read_with_external_metadata,9000,20000,20000,100,11730.194091796875,7203.340530395508,4526.853561401367
read_use_dataset,9000,20000,20000,100,62281.131744384766,nan,nan
fast,9000,20000,20000,100,22722.959518432617,14541.149139404297,5545.377731323242
fast_nullable,9000,20000,20000,100,22703.40919494629,13942.480087280273,5754.947662353516
write_use_dictionary,10000,20000,20000,100,29785.3946685791,17434.358596801758,10187.625885009766
write_use_compression,10000,20000,20000,100,27010.440826416016,16098.260879516602,7711.887359619141
write_use_statistics,10000,20000,20000,100,24489.402770996094,16674.75700378418,4261.493682861328
read_with_external_metadata,10000,20000,20000,100,12285.470962524414,7682.323455810547,4233.121871948242
read_use_dataset,10000,20000,20000,100,66705.22689819336,nan,nan
fast,10000,20000,20000,100,24851.083755493164,14835.119247436523,5480.051040649414
fast_nullable,10000,20000,20000,100,25611.162185668945,15935.897827148438,6009.578704833984
cpp_fast,1000,20000,2000,100,10637,3525,7112
cpp_fast,2000,20000,2000,100,12108,6248,5860
cpp_fast,3000,20000,2000,100,16105,9853,6252
cpp_fast,4000,20000,2000,100,19511,13277,6178
cpp_fast,5000,20000,2000,100,22344,16070,5815
cpp_fast,6000,20000,2000,100,25204,18613,6549
cpp_fast,7000,20000,2000,100,31191,22962,6000
cpp_fast,8000,20000,2000,100,31853,25205,6376
cpp_fast,9000,20000,2000,100,35281,28007,6745
cpp_fast,10000,20000,2000,100,37118,31285,5792
cpp_fast,1000,20000,20000,100,7408,1060,6130
cpp_fast,2000,20000,20000,100,5876,1843,3951
cpp_fast,3000,20000,20000,100,6874,2764,4099
cpp_fast,4000,20000,20000,100,8042,3584,4366
cpp_fast,5000,20000,20000,100,8819,4537,4222
cpp_fast,6000,20000,20000,100,10981,6690,4291
cpp_fast,7000,20000,20000,100,10636,6510,4126
cpp_fast,8000,20000,20000,100,11629,7369,4252
cpp_fast,9000,20000,20000,100,12876,8417,4432
cpp_fast,10000,20000,20000,100,14184,9928,4256
