name,columns,rows,chunk_size,data_page_size,columns_to_read,reading(μs),reading_p1(μs),reading_p2(μs)
cpp,1000,50000,100,1073741824,100,134170,133519,570
cpp_metadata_subset,1000,50000,100,1073741824,100,1466,953,513
cpp,2000,50000,100,1073741824,100,270902,270195,589
cpp_metadata_subset,2000,50000,100,1073741824,100,2421,1878,537
cpp,3000,50000,100,1073741824,100,401891,401301,590
cpp_metadata_subset,3000,50000,100,1073741824,100,3385,2795,524
cpp,4000,50000,100,1073741824,100,535052,534483,543
cpp_metadata_subset,4000,50000,100,1073741824,100,4290,3674,550
cpp,5000,50000,100,1073741824,100,667323,666743,575
cpp_metadata_subset,5000,50000,100,1073741824,100,5168,4538,538
cpp,6000,50000,100,1073741824,100,812620,811943,595
cpp_metadata_subset,6000,50000,100,1073741824,100,6298,5634,529
cpp,7000,50000,100,1073741824,100,938177,937539,550
cpp_metadata_subset,7000,50000,100,1073741824,100,7185,6544,578
cpp,8000,50000,100,1073741824,100,1073421,1072764,594
cpp_metadata_subset,8000,50000,100,1073741824,100,7982,7362,574
cpp,9000,50000,100,1073741824,100,1206875,1206170,615
cpp_metadata_subset,9000,50000,100,1073741824,100,8962,8364,567
cpp,10000,50000,100,1073741824,100,1334934,1334317,596
cpp_metadata_subset,10000,50000,100,1073741824,100,9874,9238,544
cpp,1000,50000,1000,1073741824,100,13420,12722,697
cpp_metadata_subset,1000,50000,1000,1073741824,100,1479,904,553
cpp,2000,50000,1000,1073741824,100,26673,26001,622
cpp_metadata_subset,2000,50000,1000,1073741824,100,2509,1814,594
cpp,3000,50000,1000,1073741824,100,42089,41387,652
cpp_metadata_subset,3000,50000,1000,1073741824,100,3406,2728,629
cpp,4000,50000,1000,1073741824,100,56070,55386,684
cpp_metadata_subset,4000,50000,1000,1073741824,100,4299,3653,612
cpp,5000,50000,1000,1073741824,100,70633,69931,694
cpp_metadata_subset,5000,50000,1000,1073741824,100,5260,4570,638
cpp,6000,50000,1000,1073741824,100,83597,82845,660
cpp_metadata_subset,6000,50000,1000,1073741824,100,6430,5566,672
cpp,7000,50000,1000,1073741824,100,100175,99360,707
cpp_metadata_subset,7000,50000,1000,1073741824,100,7218,6449,657
cpp,8000,50000,1000,1073741824,100,114473,113691,729
cpp_metadata_subset,8000,50000,1000,1073741824,100,8056,7388,635
cpp,9000,50000,1000,1073741824,100,126668,126002,666
cpp_metadata_subset,9000,50000,1000,1073741824,100,9069,8275,641
cpp,10000,50000,1000,1073741824,100,141262,140499,728
cpp_metadata_subset,10000,50000,1000,1073741824,100,9971,9130,693
cpp,1000,50000,50000,1073741824,100,5639,934,4679
cpp_metadata_subset,1000,50000,50000,1073741824,100,5289,911,4371
cpp,2000,50000,50000,1073741824,100,6238,1775,4463
cpp_metadata_subset,2000,50000,50000,1073741824,100,6372,1776,4592
cpp,3000,50000,50000,1073741824,100,7147,2679,4413
cpp_metadata_subset,3000,50000,50000,1073741824,100,7289,2749,4527
cpp,4000,50000,50000,1073741824,100,8369,3561,4752
cpp_metadata_subset,4000,50000,50000,1073741824,100,8343,3601,4692
cpp,5000,50000,50000,1073741824,100,9271,4419,4743
cpp_metadata_subset,5000,50000,50000,1073741824,100,9300,4474,4720
cpp,6000,50000,50000,1073741824,100,10351,5519,4661
cpp_metadata_subset,6000,50000,50000,1073741824,100,10256,5429,4662
cpp,7000,50000,50000,1073741824,100,11181,6459,4696
cpp_metadata_subset,7000,50000,50000,1073741824,100,11111,6344,4740
cpp,8000,50000,50000,1073741824,100,12151,7317,4787
cpp_metadata_subset,8000,50000,50000,1073741824,100,12062,7200,4839
cpp,9000,50000,50000,1073741824,100,13172,8195,4878
cpp_metadata_subset,9000,50000,50000,1073741824,100,12967,8066,4872
cpp,10000,50000,50000,1073741824,100,13852,9001,4779
cpp_metadata_subset,10000,50000,50000,1073741824,100,13935,8957,4894
